xsurvey,deff,icc,indicator,country
Nepal_2016,2.4415801,.031115809,% women using modern contraceptives,Nepal
Nepal_2016,4.389504,.13365576,% women married by age 18,Nepal
Nicaragua_2001,3.1264369,.29736173,% women completed primary school,Nicaragua
Nicaragua_2001,1.7125919,.023750242,% women using modern contraceptives,Nicaragua
Nicaragua_2001,2.6959171,.080002263,% women married by age 18,Nicaragua
Niger_2012,2.5567706,.21135327,% women completed primary school,Niger
Niger_2012,3.2146733,.093431152,% women using modern contraceptives,Niger
Niger_2012,2.6886699,.1889744,% women married by age 18,Niger
Nigeria_2018,11.82793,.5356378,% women completed primary school,Nigeria
Nigeria_2018,2.8949747,.071958207,% women using modern contraceptives,Nigeria
Nigeria_2018,7.4445825,.33877504,% women married by age 18,Nigeria
Pakistan_2017,13.345256,.34868369,% women completed primary school,Pakistan
Pakistan_2017,2.8851538,.029885616,% women using modern contraceptives,Pakistan
Pakistan_2017,5.2286325,.11136504,% women married by age 18,Pakistan
Paraguay_1990,3.5080988,.24807188,% women completed primary school,Paraguay
Paraguay_1990,1.3971387,.039221048,% women using modern contraceptives,Paraguay
Paraguay_1990,1.6310601,.049558166,% women married by age 18,Paraguay
Peru_2012,3.0519114,.18623063,% women completed primary school,Peru
Peru_2012,2.6855969,.035475723,% women using modern contraceptives,Peru
Peru_2012,2.3102539,.09062966,% women married by age 18,Peru
Philippines_2017,4.2698975,.12679824,% women completed primary school,Philippines
Philippines_2017,3.7950838,.042001951,% women using modern contraceptives,Philippines
Philippines_2017,3.8274806,.057457574,% women married by age 18,Philippines
Rwanda_2014,2.7055018,.1050619,% women completed primary school,Rwanda
Rwanda_2014,1.6141213,.023263497,% women using modern contraceptives,Rwanda
Rwanda_2014,1.4085569,.026093673,% women married by age 18,Rwanda
Senegal_2017,5.4103236,.18317957,% women completed primary school,Senegal
Senegal_2017,3.2428782,.038881399,% women using modern contraceptives,Senegal
Senegal_2017,3.4198523,.16387555,% women married by age 18,Senegal
SierraLeone_2013,8.9373322,.22483678,% women completed primary school,Sierra Leone
SierraLeone_2013,6.3924708,.088441268,% women using modern contraceptives,Sierra Leone
SierraLeone_2013,6.2944298,.096281789,% women married by age 18,Sierra Leone
SouthAfrica_2016,2.1997876,.060683012,% women completed primary school,South Africa
SouthAfrica_2016,2.4041011,.045256101,% women using modern contraceptives,South Africa
SouthAfrica_2016,2.1890655,.03193672,% women married by age 18,South Africa
Tanzania_2015,5.0199618,.17506124,% women completed primary school,Tanzania
Tanzania_2015,2.5474582,.082551681,% women using modern contraceptives,Tanzania
Tanzania_2015,2.9631054,.10371456,% women married by age 18,Tanzania
Togo_2013,5.202167,.21186684,% women completed primary school,Togo
Togo_2013,2.2503414,.047081798,% women using modern contraceptives,Togo
Togo_2013,1.9073216,.061889444,% women married by age 18,Togo
Turkey_2013,36.718311,.11804482,% women completed primary school,Turkey
Turkey_2013,7.3425498,.017226882,% women using modern contraceptives,Turkey
Turkey_2013,5.3579369,.014647516,% women married by age 18,Turkey
Uganda_2016,5.4985127,.21269444,% women completed primary school,Uganda
Uganda_2016,2.3294544,.038625579,% women using modern contraceptives,Uganda
Uganda_2016,2.4140596,.06704215,% women married by age 18,Uganda
Vietnam_2002,6.0562954,.40113363,% women completed primary school,Vietnam
Vietnam_2002,3.1809149,.050998736,% women using modern contraceptives,Vietnam
Vietnam_2002,2.3179493,.082108162,% women married by age 18,Vietnam
Zambia_2018,5.3821001,.27176967,% women completed primary school,Zambia
Zambia_2018,2.1679215,.032403696,% women using modern contraceptives,Zambia
Zambia_2018,3.2854514,.092438117,% women married by age 18,Zambia
Zimbabwe_2015,4.6655221,.16760427,% women completed primary school,Zimbabwe
Zimbabwe_2015,1.9303776,.025656,% women using modern contraceptives,Zimbabwe
Zimbabwe_2015,2.8181565,.11032186,% women married by age 18,Zimbabwe
